copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0033670,Deployment of PR_GetOffersIP - SAL-84421,IntegrationProcedure.PR_getOffersIP,IntegrationProcedure,,,Auto-resolved,,2025-10-08T16:18:43.000+0000,,aC2Pl000000FENdKAO_IntegrationProcedure.PR_getOffersIP,2025-10-08T16:18:43.000+0000,Shivani Soni,2025-10-16T00:19:51.000+0000,Nagaswarup Thumu,pravin govardhanan,SAL-84421
US-0033682,Deployment :Sync plan info Aria -- Create commercial Order Aria dependency - SAL-84451,OrchestrationDependencyDefinition.Sync Plan Info From ARIA -- Create Commercial Order Aria (023a0fef-f963-b654-2cbf-0b0bd6732bdf),OrchestrationDependencyDefinition,,,,,2025-10-09T08:49:26.000+0000,,aC2Pl000000FFunKAG_OrchestrationDependencyDefinition.Sync Plan Info From ARIA -- Create Commercial Order Aria (023a0fef-f963-b654-2cbf-0b0bd6732bdf),2025-10-09T08:49:26.000+0000,Sunil Bishnoi,2025-10-09T08:49:26.000+0000,Sunil Bishnoi,Shubham Mehta,SAL-84451
US-0033687,Code Change - QA-213596,LightningComponentBundle.prMobilePostpaidAdjustment_lwc,LightningComponentBundle,,,Potential Conflict,,2025-10-09T10:46:41.000+0000,,aC2Pl000000FG2rKAG_LightningComponentBundle.prMobilePostpaidAdjustment_lwc,2025-10-09T10:46:42.000+0000,Shivani Soni,2025-10-13T22:08:54.000+0000,Juan Pablo Hernández,Shivani Soni,QA-213596
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,ApexClass.AriaMultilineDiscountTmfJsonHelper,ApexClass,,,,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_ApexClass.AriaMultilineDiscountTmfJsonHelper,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-09T11:35:24.000+0000,Shubham Mehta,Shubham Mehta,SAL-84456
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,CustomField.OrderItem.SkipAssetization__c,CustomField,,,,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_CustomField.OrderItem.SkipAssetization__c,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-09T11:35:24.000+0000,Shubham Mehta,Shubham Mehta,SAL-84456
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,CustomField.Order.SkipAssetization__c,CustomField,,,,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_CustomField.Order.SkipAssetization__c,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-09T11:35:24.000+0000,Shubham Mehta,Shubham Mehta,SAL-84456
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,PermissionSet.PRB2B_SFICPQUser_PS,PermissionSet,,,Auto-resolved,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_PermissionSet.PRB2B_SFICPQUser_PS,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-14T22:29:12.000+0000,Jorge Barradas,Shubham Mehta,SAL-84456
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,ApexClass.AriaMultilineDiscountTmfJsonHelperTest,ApexClass,,,,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_ApexClass.AriaMultilineDiscountTmfJsonHelperTest,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-09T11:35:24.000+0000,Shubham Mehta,Shubham Mehta,SAL-84456
US-0033638,QA deployment - QA-211994,LightningComponentBundle.prDeviceTile,LightningComponentBundle,,,Potential Conflict,,2025-10-10T05:35:12.000+0000,,aC2Pl000000FCYjKAO_LightningComponentBundle.prDeviceTile,2025-10-10T05:35:12.000+0000,Shivani Soni,2025-10-10T05:35:14.000+0000,Shivani Soni,elang kapilann,QA-211994
US-0033638,QA deployment - QA-211994,LightningComponentBundle.prWearableTile,LightningComponentBundle,,,Potential Conflict,,2025-10-10T05:35:12.000+0000,,aC2Pl000000FCYjKAO_LightningComponentBundle.prWearableTile,2025-10-10T05:35:12.000+0000,Shivani Soni,2025-10-10T05:35:14.000+0000,Shivani Soni,elang kapilann,QA-211994
US-0033638,QA deployment - QA-211994,LightningComponentBundle.prShowWearableTileLwc,LightningComponentBundle,,,Potential Conflict,,2025-10-10T05:35:12.000+0000,,aC2Pl000000FCYjKAO_LightningComponentBundle.prShowWearableTileLwc,2025-10-10T05:35:12.000+0000,Shivani Soni,2025-10-10T05:35:14.000+0000,Shivani Soni,elang kapilann,QA-211994
US-0033638,QA deployment - QA-211994,LightningComponentBundle.pR_BuyersRemorseDeviceTile_Lwc,LightningComponentBundle,,,,,2025-10-10T05:35:12.000+0000,,aC2Pl000000FCYjKAO_LightningComponentBundle.pR_BuyersRemorseDeviceTile_Lwc,2025-10-10T05:35:12.000+0000,Shivani Soni,2025-10-10T05:35:12.000+0000,Shivani Soni,elang kapilann,QA-211994
